id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
17255630398072300451,8C0jPhAAAAAJ,Tamara Martínez,Universidad Católica del Norte,ucn,alumno,22,
17255630398072300451,HrDHseEAAAAJ,Joaquin P. Moris,"Académico, Universidad Católica del Norte",ucn,ucn.cl,20,CFD Tsunami Natural Hazards 
17255630398072300451,J8T4N2UAAAAJ,Ivan Rojas Jofre,Universidad Catolica del Norte,ucn,ucn.cl,19,Data Science | Software Development | IA … 
17255630398072300451,mEi8H6MAAAAJ,Rodrigo Sfeir Y,"Profesor Asistente, Universidad Católica del Norte",ucn,ucn.cl,18,Economía del Desarrollo Economía Ambiental 
17255630398072300451,KyKSkREAAAAJ,Diego Portilla-Saavedra,Universidad Católica del Norte - Universidad Santo Tomás,ucn,alumno,16,Psicología Clínica Psicología Jurídica 
17255630398072300451,bAG-tg8AAAAJ,Diego Urrutia-Astorga,Universidad Católica del Norte,ucn,ucn.cl,15,software engineering mobile computing high performance computing cloud computing devops 
17255630398072300451,mGEVAt8AAAAJ,Mónica María Salazar Cardona,Universidad Católica del Norte,ucn,alumno,15,Nanoscience 
17255630398072300451,gT2qUqgAAAAJ,Francisco Egaña Bruna,"Investigador, Universidad Católica del Norte",ucn,ucn.cl,13,Administración redes sociales emprendimiento 
17255630398072300451,cnHiVMMAAAAJ,Hernán Lespay Rebolledo,Universidad Católica del Norte,ucn,ucn.cl,13,Operations Research Last-Mile Logistics 
17255630398072300451,hL96vBkAAAAJ,Ítalo Donoso Barraza,Universidad Católica del Norte,ucn,ucn.cl,13,Ingeniería de Requerimientos 
17255630398072300451,qXHhYEQAAAAJ,Katty Gomez,Universidad Católica del Norte,ucn,alumno,12,Economía Regional Estructura Económica Economía Urbana 
17255630398072300451,3cFUOqAAAAAJ,Carlos Monardes,"Assistant Professor, Universidad Catolica del Norte",ucn,ucn.cl,12,OR in Agriculture Production Planning Scheduling Optimization Uncertainty 
17255630398072300451,xiK59XIAAAAJ,"Munizaga Plaza, Juan Antonio","PhD in Environmental Engineering, Universidad Católica del Norte, Coquimbo.",ucn,ucn.cl,10,Solid Waste Management Environmental Engineering Residuos Sólidos Urbanos Ingeniería Ambiental 
17255630398072300451,Pu4ZeCQAAAAJ,Erick De la Barra Olivares,"Assistant Professor, Universidad Católica del Norte",ucn,ucn.cl,10,applied mathematics mathematical physics operations research statistics statistical mechanics 
17255630398072300451,pmd4G8YAAAAJ,Juan Navarrete Cano,"Profesor de Teología Universidad Católica del Norte, Coquimbo-Chile",ucn,ucn.cl,8,Teología sistemática Dogmática Teología de la Creación Teología de la Liberación Diálogo ciencia y teología 
17255630398072300451,sxfZb4kAAAAJ,Alfredo Gonzalez,"Profesor de Ingeniería de proyectos, Universidad Católica del Norte",ucn,ucn.cl,8,Gestión de Proyectos Gestión de Recursos y Procesos 
