id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
14018219609791295521,OvfJf0YAAAAJ,Leonardo Rodriguez-Cordova,"Escuela de Ingeniería Civil Industrial, Universidad Santo Tomás",santotomas,santotomas.cl,44,medio ambiente sustentabilidad procesos complejos en ingeniería 
14018219609791295521,ajL_dRYAAAAJ,Giovanny Arenas Sánchez,"Laboratorio de Fisiología del Ejercicio, Escuela de Kinesiología, Universidad Santo Tomás …",santotomas,santotomas.cl,38,
14018219609791295521,FTiJIakAAAAJ,Roberto Álvarez San Martín,Universidad Santo Tomás,santotomas,santotomas.cl,38,Antropología Interculturalidad 
14018219609791295521,8-YaNKkAAAAJ,Angélica Silva-Ríos,Universidad Santo Tomás,santotomas,santotomas.cl,33,Salud Pública - Fonoaudiología - Innovación … 
14018219609791295521,iWpl8twAAAAJ,Vivian Neumann,Universidad Santo Tomás,santotomas,santotomas.cl,32,
14018219609791295521,y96eicoAAAAJ,Esther Gómez de Pedro,"Directora nacional de Formación e Identidad, Profesora Asociada, Filosofía, Universidad …",santotomas,santotomas.cl,32,antropología ética formación integral virtudes 
14018219609791295521,6wUDd3gAAAAJ,Elia Sepúlveda,Académica e Investigadora  Universidad Autónoma de Barcelona  - Universidad Santo …,santotomas,santotomas.cl,30,Cambio ambiental global pedagogía social trabajo social desastres naturales 
14018219609791295521,IH7S-soAAAAJ,Sebastián Rivera R,"Escuela de Fonoaudiología, Universidad Santo Tomás",santotomas,santotomas.cl,25,Audiología otoneurología 
14018219609791295521,zmFS7b8AAAAJ,Patricio Andrés Pino Castillo,"Universidad Santo Tomás, Chile",santotomas,santotomas.cl,22,psycholinguistics metacognition literacy teacher education phonetics 
14018219609791295521,ilgDOCoAAAAJ,Esteban Saavedra Vallejos,Universidad Santo Tomás,santotomas,santotomas.cl,21,Educación - formación docente - gamificación … 
14018219609791295521,S31l9G0AAAAJ,Yerko Muñoz-Salinas,Universidad Santo Tomás,santotomas,santotomas.cl,20,teacher emotion practicum teacher identity 
14018219609791295521,7Bu45vkAAAAJ,Fabiola Moreno,Universidad Santo Tomás,santotomas,alumnos.santo,18,
14018219609791295521,GYSTl7kAAAAJ,Nicolás Vidal-Seguel,"Escuela de Enfermería, Universidad Santo Tomás, Chile.",santotomas,santotomas.cl,18,Human anatomy Skeletal muscle physiology immune responses 
14018219609791295521,QfseitcAAAAJ,María de los Angeles Oyarzún-Farías,"Académica Trabajo Social, Facultad de Ciencias Sociales y Comunicaciones, Universidad …",santotomas,santotomas.cl,18,Paternidad Parentalidad Bienestar 
14018219609791295521,CdPE7FsAAAAJ,Marco Braghetto,"Profesor de Ciencias Sociales y Humanidades, Universidad Santo Tomás",santotomas,santotomas.cl,17,Ciencias Sociales Humanidades 
14018219609791295521,H3S8NIUAAAAJ,LUIS CHANCI,"Universidad Santo Tomás, Santiago de Chile",santotomas,santotomas.cl,16,Productivity + Econometrics Macroeconomics + Labor 
14018219609791295521,6bdxPdsAAAAJ,Pedro Mayorga Cordero,Universidad Santo Tomás,santotomas,santotomas.cl,13,Filosofía - Educación - Formación Ciudadana 
14018219609791295521,zXwrXmAAAAAJ,Rodrigo Barraza Alonso,Universidad Santo Tomás,santotomas,santotomas.cl,13,Circular Economy Sustainability Operations Management 
14018219609791295521,VKo_Hw8AAAAJ,Francisco Araya Carrasco,Universidad Santo Tomás,santotomas,santotomas.cl,7,Psicología Educacional y Comunitaria 
14018219609791295521,Ad7TwLoAAAAJ,Héctor Rivera Vergara,"Docente Universidad Santo Tomás. Sede Santiago, Chile",santotomas,santotomas.cl,6,Estratificación Social: Movilidad Social 
14018219609791295521,d9nQs6kAAAAJ,Manuel Salinas,"Psicólogo. Escuela de Psicología, Facultad de Ciencias Sociales y Comunicaciones …",santotomas,alumnos.santo,5,psychologist 
14018219609791295521,ovZumtMAAAAJ,Miguel Rodríguez-Altamirano,"Académico Adjunto, Universidad Santo Tomás",santotomas,santotomas.cl,5,Educación Trabajo Social 
14018219609791295521,s3ZqoF0AAAAJ,Francino Barrera G,"Académico de Kinesiología, Universidad Santo Tomás",santotomas,santotomas.cl,4,Medicina Deportiva Rehabilitación Física Fisiología del Deporte Biomecánica Clínica y del Deporte 
14018219609791295521,1-WTyiQAAAAJ,Cedric Steinlen Cuevas,"Docente, Universidad Santo Tomás",santotomas,santotomas.cl,4,Historia Filosofía Estudios Internacionales 
14018219609791295521,HEJYwUwAAAAJ,Ruth Paz,"Profesora adjunta curso de Estadística para ciencias de la salud, Universidad Santo Tomás",santotomas,santotomas.cl,3,Desarrollo de productos saludables investigación de mercados agroalimentarios 
14018219609791295521,M_WGx8UAAAAJ,Miguel Alarcón Rivera,"Licenciado en Ciencias del deporte y Actividad Física, Universidad Santo Tomás",santotomas,santotomas.cl,3,resistance training Strength and conditioning muscle hypertrophy 
14018219609791295521,UvP6MEgAAAAJ,Jean Paul Rannau,Universidad Santo Tomás,santotomas,santotomas.cl,1,Educación 
14018219609791295521,O5QAJckAAAAJ,Katherine Mora Pino,"Docente Fonoaudiología, Universidad Santo Tomas",santotomas,santotomas.cl,,
14018219609791295521,sYv3IEEAAAAJ,Hector Gerardo Herrera Latorre,Profesor Facultad de Salud Universidad SANTO TOMAS,santotomas,santotomas.cl,,salud publica epidemiologia administracion y gestion en salud 
14018219609791295521,B7ql-DIAAAAJ,Luis Alberto Urzua Alul,Universidad Santo Tomas,santotomas,santotomas.cl,,Administración educativa fisiología del ejercicio prescripción del ejercicio en adultos y adultos … rehabilitación deportiva 
14018219609791295521,vnKKBFUAAAAJ,Ricardo Ulloa-Jimenez,"Escuela de kinesiología, Universidad Santo Tomás, Santiago, Chile",santotomas,santotomas.cl,,Biomecánica Control Motor Ciencias del deporte 
14018219609791295521,CJV9_WwAAAAJ,Marcelo Zúñiga Herrera,Universidad Santo Tomás,santotomas,santotomas.cl,,Educación Educación Física Formación docente 
14018219609791295521,_VAz4BoAAAAJ,Patricia Aravena Perez,Enfermera docente Universidad Santo Tomas,santotomas,santotomas.cl,,genero 
14018219609791295521,L2ScivwAAAAJ,Alan Faune,"Tecnico agricola, Universidad Santo Tomas",santotomas,alumnos.santo,,agricultura 
14018219609791295521,hBd-94YAAAAJ,Loreto Miroslava Valenzuela Torres,"Profesora Derecho Administrativo, Universidad Santo Tomás",santotomas,santotomas.cl,,Derecho Administrativo Derecho Ambiental Gestión de riesgos Obras y Empresas Públicas. 
14018219609791295521,sjJ0m9oAAAAJ,Eloy Oliva-Vásquez,Universidad Santo Tomás,santotomas,santotomas.cl,,
